Supermarket,4/05/2026,5/05/2026,6/05/2026,7/05/2026,8/05/2026,9/05/2026,10/05/2026,11/05/2026,12/05/2026,13/05/2026,14/05/2026,15/05/2026,16/05/2026,17/05/2026,18/05/2026,19/05/2026,20/05/2026,21/05/2026,22/05/2026,23/05/2026,24/05/2026,25/05/2026,26/05/2026,27/05/2026,28/05/2026,29/05/2026,30/05/2026,31/05/2026,1/06/2026,2/06/2026,3/06/2026,4/06/2026,5/06/2026,6/06/2026,7/06/2026,8/06/2026,9/06/2026,10/06/2026,11/06/2026,12/06/2026,13/06/2026,14/06/2026,15/06/2026,16/06/2026,17/06/2026,18/06/2026,19/06/2026,20/06/2026,21/06/2026,22/06/2026,23/06/2026,24/06/2026,25/06/2026,26/06/2026,27/06/2026,28/06/2026
Four Square Pakuranga Heights,2,4,1,4,1,1,0,1,1,4,1,3,1,0,1,3,2,2,4,1,0,1,3,2,1,3,1,0,0,2,2,1,1,1,0,1,2,1,1,4,0,0,1,3,2,2,2,0,0,4,3,3,4,2,1,0
Four Square Remuera,2,4,2,2,4,0,0,1,4,4,4,3,0,0,4,4,2,3,4,1,0,2,2,3,3,3,1,0,0,4,4,4,2,0,0,1,3,3,3,3,1,0,4,4,4,1,2,1,0,4,2,3,3,4,0,0
Four Square St Heliers,4,4,1,4,3,1,0,2,1,1,3,3,1,0,2,2,1,1,4,1,0,3,3,1,3,1,1,0,0,2,3,4,2,1,0,3,1,3,3,2,1,0,2,3,2,2,2,0,0,3,3,1,3,3,1,0
Four Square Torbay,4,4,3,1,3,1,0,4,1,1,3,3,0,0,4,4,3,3,4,0,0,1,3,3,1,3,1,0,0,2,3,3,3,0,0,3,4,4,4,1,0,0,4,4,1,1,1,0,0,4,4,4,1,1,0,0
New World Albany,9,5,8,8,6,3,0,9,5,8,10,5,2,0,6,7,6,7,10,2,0,8,7,7,7,8,1,0,0,6,10,5,4,2,0,8,6,8,7,6,3,0,8,10,7,4,9,3,0,5,6,8,9,7,2,0
New World Birkenhead,8,7,4,8,9,2,0,5,8,6,9,8,3,0,8,7,5,7,4,2,0,6,7,5,8,10,2,0,0,7,5,6,8,3,0,5,9,4,9,6,1,0,5,8,5,8,4,2,0,7,6,6,7,7,1,0
New World Botany,8,10,5,8,6,1,0,9,5,7,8,6,2,0,6,7,10,8,5,1,0,6,6,4,9,9,2,0,0,7,5,5,6,2,0,9,4,8,7,7,3,0,7,7,10,7,6,2,0,6,4,7,7,9,3,0
New World Browns Bay,6,4,8,5,9,2,0,6,7,5,8,6,1,0,10,6,5,7,5,1,0,9,6,8,8,4,1,0,0,4,6,7,6,3,0,4,6,5,8,7,1,0,10,6,8,7,6,3,0,6,7,9,8,4,1,0
New World Devonport,7,7,6,10,7,2,0,5,5,10,9,7,3,0,6,8,6,7,5,1,0,5,6,8,8,5,3,0,0,6,7,7,4,2,0,5,8,10,9,8,1,0,7,8,5,5,5,1,0,5,8,7,7,5,2,0
New World Eastridge,5,4,4,9,5,3,0,10,6,5,4,4,1,0,4,4,5,8,8,1,0,6,7,7,9,7,2,0,0,6,5,8,6,1,0,8,4,7,5,6,3,0,6,7,5,9,8,1,0,9,8,6,8,8,3,0
New World Green Bay,6,4,7,7,8,2,0,5,5,7,7,9,1,0,6,6,8,7,6,1,0,5,10,8,9,8,3,0,0,4,5,7,6,3,0,5,5,6,6,11,1,0,7,4,7,7,8,3,0,4,9,6,10,5,2,0
New World Hobsonville,8,6,6,7,5,2,0,6,4,7,8,9,2,0,10,6,9,6,5,1,0,5,8,4,6,5,1,0,0,7,5,8,8,2,0,6,7,5,7,9,3,0,10,8,8,8,6,3,0,6,8,7,7,6,3,0
New World Howick,8,7,10,8,8,1,0,4,7,7,6,5,3,0,7,8,7,7,8,2,0,7,7,7,7,6,2,0,0,4,7,7,6,1,0,5,10,5,7,8,3,0,7,5,5,4,9,1,0,4,5,5,8,6,3,0
New World Long Bay,6,5,6,5,7,1,0,5,6,8,5,7,3,0,8,7,8,9,7,3,0,7,9,5,6,5,1,0,0,5,5,8,6,3,0,6,7,8,6,7,1,0,6,8,8,8,6,3,0,5,8,5,9,7,1,0
New World Metro Queen St,4,4,2,4,3,1,0,2,2,2,1,4,1,0,3,1,1,3,4,1,0,2,2,4,2,2,1,0,0,4,1,4,3,1,0,4,3,3,2,2,0,0,1,2,1,3,2,1,0,2,2,3,2,2,1,0
New World Metro Shore City,1,4,1,1,4,0,0,1,3,1,3,2,0,0,2,3,1,4,2,0,0,3,1,1,2,1,1,0,0,4,3,1,1,0,0,1,3,4,3,2,0,0,3,1,3,4,1,1,0,3,3,1,3,4,1,0
New World Milford,7,7,6,6,8,3,0,6,8,9,6,8,1,0,6,6,8,7,6,1,0,6,11,5,8,7,1,0,0,6,5,7,9,3,0,5,9,8,5,7,1,0,8,4,5,7,4,3,0,5,11,7,7,6,3,0
New World Mt Albert,4,7,6,8,5,3,0,7,7,5,9,7,1,0,9,8,8,10,5,1,0,6,8,5,8,4,3,0,0,5,8,8,6,3,0,7,8,7,8,6,1,0,8,5,7,9,6,3,0,8,5,4,6,6,3,0
New World Mt Roskill,6,8,6,6,6,1,0,8,7,7,9,7,1,0,5,5,7,5,8,2,0,5,4,9,7,7,2,0,0,7,8,5,5,1,0,7,6,8,9,9,2,0,4,4,8,5,5,1,0,5,6,9,5,8,1,0
New World New Lynn,7,7,5,7,8,2,0,6,6,7,7,6,3,0,4,5,6,5,8,2,0,4,6,8,7,9,1,0,0,4,5,6,6,2,0,5,6,8,8,5,1,0,5,8,6,8,5,2,0,5,8,8,6,9,1,0
New World Newmarket,6,6,8,7,6,3,0,8,5,8,5,8,1,0,5,6,5,7,5,1,0,5,4,9,4,9,2,0,0,7,7,7,7,2,0,9,4,6,7,9,1,0,6,4,8,7,7,1,0,5,4,10,4,6,1,0
New World Ormiston,8,5,4,7,5,3,0,5,6,6,7,9,1,0,6,5,4,6,7,2,0,7,6,8,8,7,2,0,0,5,6,5,6,1,0,8,5,8,9,9,1,0,6,8,4,9,5,2,0,8,5,6,5,7,3,0
New World Papakura,7,6,4,4,7,1,0,8,6,6,5,6,3,0,7,7,5,8,8,2,0,10,7,5,6,8,2,0,0,8,7,5,6,2,0,7,7,4,8,7,1,0,6,8,8,7,8,1,0,9,7,5,8,8,2,0
New World Papatoetoe,8,5,4,6,6,2,0,8,7,8,4,7,1,0,6,6,5,7,7,3,0,4,7,8,6,4,1,0,0,7,7,8,7,3,0,8,8,11,5,6,1,0,5,8,5,4,10,3,0,4,8,9,6,6,3,0
New World Point Chevalier,7,5,4,8,6,1,0,7,7,6,7,5,1,0,6,6,8,4,6,3,0,6,4,5,5,4,3,0,0,4,5,6,6,1,0,8,5,6,5,6,3,0,6,7,6,6,5,3,0,6,4,7,4,5,1,0
New World Remuera,5,8,7,6,7,1,0,10,7,6,7,7,1,0,5,7,7,5,6,1,0,10,7,7,4,9,1,0,0,7,8,9,7,1,0,9,8,6,7,8,3,0,7,7,7,4,5,3,0,10,7,6,5,6,3,0
New World Southmall,7,7,5,5,4,1,0,6,5,7,6,5,2,0,5,4,9,8,7,3,0,10,7,5,6,4,2,0,0,7,5,5,5,1,0,4,4,6,5,7,1,0,5,6,10,5,7,2,0,10,8,7,9,6,3,0
New World Stonefields,7,5,8,8,9,3,0,6,5,6,6,6,1,0,6,5,8,6,4,2,0,7,7,9,7,7,2,0,0,5,7,6,9,1,0,7,7,6,9,4,2,0,5,6,8,7,7,2,0,7,4,7,6,8,1,0
New World Victoria Park,7,7,4,6,5,3,0,5,9,5,9,5,1,0,12,8,6,7,7,3,0,8,6,7,7,6,1,0,0,9,4,7,8,3,0,7,6,4,9,8,2,0,10,5,7,4,7,2,0,8,5,6,4,6,3,0
Pak 'n Save Albany,7,13,11,13,10,7,0,6,9,8,9,9,3,0,8,9,12,15,10,4,0,10,11,10,7,6,4,0,0,7,17,4,8,5,0,8,9,12,8,10,3,0,10,9,5,7,12,6,0,5,9,9,5,9,3,0
Pak 'n Save Botany,10,12,7,4,8,3,0,10,12,8,11,9,4,0,5,8,9,4,11,3,0,12,10,14,5,7,8,0,0,6,13,7,8,6,0,11,11,7,10,9,6,0,8,7,10,5,12,6,0,11,8,13,8,7,6,0
Pak 'n Save Clendon,13,12,11,10,5,4,0,10,7,11,11,13,5,0,8,11,9,10,10,5,0,8,9,10,6,13,5,0,0,9,7,9,6,6,0,13,6,5,9,5,4,0,6,9,11,6,12,3,0,10,9,10,6,9,6,0
Pak 'n Save Glen Innes,10,10,10,12,5,7,0,4,12,12,5,9,5,0,8,8,13,9,5,3,0,11,9,13,9,9,6,0,0,6,14,9,14,5,0,10,11,10,8,9,5,0,14,5,5,8,14,4,0,6,5,6,13,10,6,0
Pak 'n Save Henderson,5,7,14,8,7,6,0,11,10,10,10,10,8,0,12,7,5,11,13,6,0,12,4,10,5,8,4,0,0,13,10,10,6,6,0,11,9,120,8,7,6,0,10,9,12,4,9,3,0,10,8,8,7,10,6,0
Pak 'n Save Highland Park,12,7,8,8,10,3,0,9,8,10,8,6,3,0,11,12,12,7,10,5,0,9,10,7,9,4,6,0,0,7,7,10,6,4,0,12,6,9,9,7,3,0,12,6,6,7,8,6,0,15,11,7,9,10,5,0
Pak 'n Save Lincoln Road,4,9,8,12,11,7,0,9,11,8,11,10,6,0,7,8,11,14,8,4,0,8,11,6,10,6,6,0,0,9,6,9,9,6,0,9,10,6,14,12,6,0,6,9,12,9,10,4,0,12,12,8,6,13,3,0
Pak 'n Save Mangere,13,13,11,6,4,4,0,6,7,14,9,10,6,0,10,7,5,6,7,3,0,8,8,9,6,9,6,0,0,4,9,14,11,6,0,9,11,11,9,7,5,0,9,6,9,7,9,6,0,10,8,6,6,11,5,0
Pak 'n Save Manukau,10,5,12,7,11,6,0,5,8,11,4,11,4,0,12,11,10,12,9,5,0,5,14,10,7,7,5,0,0,7,8,5,10,4,0,8,7,9,7,5,4,0,9,13,8,10,6,5,0,12,10,6,11,9,6,0
Pak 'n Save Mt Albert,8,6,12,9,9,3,0,10,9,7,11,16,4,0,4,7,11,6,10,4,0,10,5,9,10,7,5,0,0,11,9,6,6,4,0,6,10,13,6,8,6,0,12,6,7,12,11,7,0,8,7,8,8,8,6,0
Pak 'n Save Ormiston,12,10,8,10,8,7,0,11,11,9,4,8,5,0,14,10,8,12,9,5,0,5,9,11,7,10,4,0,0,11,15,7,6,5,0,5,8,7,9,7,4,0,12,7,5,10,11,6,0,13,12,5,9,11,7,0
Pak 'n Save Papakura,6,5,9,12,9,5,0,7,5,12,9,9,3,0,6,15,11,10,10,6,0,11,12,10,9,5,3,0,0,7,7,8,8,5,0,8,9,12,9,11,6,0,8,7,9,9,15,4,0,11,10,12,10,7,7,0
Pak 'n Save Royal Oak,13,12,9,11,6,4,0,6,8,9,10,9,6,0,5,12,10,9,10,6,0,12,9,8,9,8,6,0,0,10,7,9,13,3,0,6,14,13,4,14,6,0,9,11,7,10,8,5,0,9,7,6,7,9,7,0
Pak 'n Save Sylvia Park,7,11,12,10,9,7,0,11,10,10,8,10,5,0,9,9,10,11,9,5,0,11,9,10,10,7,5,0,0,12,13,11,10,4,0,11,9,11,9,12,6,0,11,11,12,10,9,4,0,7,9,12,10,9,5,0
Pak 'n Save Wairau Road,7,10,12,7,6,5,0,10,6,10,7,10,4,0,6,11,10,8,10,4,0,8,9,7,13,11,5,0,0,7,8,11,9,4,0,5,8,10,7,5,3,0,11,8,12,9,9,4,0,8,7,8,11,14,3,0
Pak 'n Save Westgate,9,8,8,12,12,3,0,8,11,9,13,14,5,0,6,13,12,13,10,6,0,9,10,8,9,10,3,0,0,9,10,11,8,5,0,11,7,8,9,13,4,0,10,8,7,8,5,3,0,11,4,7,7,10,3,0
